symbol,first_date,last_date,total_calendar_days,complete_days,incomplete_days,average_volatility_percent,median_volatility_percent,standard_deviation_percent,minimum_volatility_percent,maximum_volatility_percent,lag_1_autocorrelation
BTCUSDT,2020-01-02,2025-12-31,2192,2176,16,2.8937452983366896,2.5025049211631094,1.94360192254896,0.2879735815686579,33.24997795626904,0.6472565801741313
ETHUSDT,2020-01-02,2025-12-31,2192,2176,16,3.7542618559713263,3.2579276875168706,2.394755396811711,0.3616586235505612,40.49314526605723,0.6557913790999403
