symbol,year,complete_days,average_volatility_percent,median_volatility_percent,minimum_volatility_percent,maximum_volatility_percent
BTCUSDT,2020,357,3.175312736791398,2.5931905121625727,0.7832448000729233,33.24997795626904
BTCUSDT,2021,359,4.433585463241381,3.768632587811976,1.857390425845982,26.540395275360407
BTCUSDT,2022,365,3.0565575660140882,2.6978948765434443,0.5137838546331726,10.563317425100903
BTCUSDT,2023,364,2.0343562919133036,1.8403448393859123,0.2879735815686579,10.097652214960355
BTCUSDT,2024,366,2.5620820275981284,2.367493271821697,0.7111711875872836,11.466896134601669
BTCUSDT,2025,365,2.1306156627121977,1.932343157421024,0.4955999388306735,10.088209421080109
ETHUSDT,2020,357,4.208244087187079,3.6056594853313952,1.1785685693853318,34.19112736248879
ETHUSDT,2021,359,5.487429424319299,4.7102572667195775,1.9303008389012415,40.49314526605723
ETHUSDT,2022,365,4.081412066143298,3.6846084837976174,0.7129916853127803,14.840389037616694
ETHUSDT,2023,364,2.233179585990488,2.011565032634791,0.3616586235505612,10.49293298348993
ETHUSDT,2024,366,3.0594374809694,2.789708229153236,0.9429440637770096,15.354896274528144
ETHUSDT,2025,365,3.4920454922179394,3.2822453191113614,0.9351076147634104,13.13484536152366
