symbol,date,close,daily_log_return,realized_volatility_percent
BTCUSDT,2020-03-13,5578.6,0.1503219309423461,33.24997795626904
BTCUSDT,2021-05-19,36690.09,-0.1551938194929315,26.540395275360407
BTCUSDT,2020-03-12,4800.0,-0.5026069427414599,22.142082785501525
BTCUSDT,2021-01-11,35404.47,-0.0746881986220904,16.929171206438106
BTCUSDT,2020-03-16,5028.97,-0.0639912912173651,14.33259089766964
BTCUSDT,2021-09-07,46863.73,-0.1166861826166689,14.097545362009331
BTCUSDT,2021-02-23,48891.0,-0.1010129181393365,13.960389931828022
BTCUSDT,2021-05-21,37252.01,-0.0842536325479504,13.354372847497006
BTCUSDT,2021-05-23,34655.25,-0.0775502710142565,13.043099938148297
BTCUSDT,2021-01-29,34252.2,0.026247545889009,12.231655245111469
ETHUSDT,2021-05-19,2438.92,-0.3248607464823099,40.49314526605723
ETHUSDT,2020-03-13,134.06,0.2178242909062896,34.19112736248879
ETHUSDT,2020-03-12,107.82,-0.5905343858695524,22.633381944970026
ETHUSDT,2021-01-11,1087.01,-0.1431069766534551,21.58111294850491
ETHUSDT,2021-09-07,3434.57,-0.1339254691106615,19.29688761993984
ETHUSDT,2021-05-23,2096.39,-0.0904593791755009,18.45061002450224
ETHUSDT,2021-05-20,2768.62,0.1267936827452274,17.24192044472086
ETHUSDT,2021-05-21,2430.98,-0.1300545328799705,17.112654608428915
ETHUSDT,2021-02-23,1577.89,-0.119164377212651,16.726277127081982
ETHUSDT,2021-01-04,1041.43,0.0625541200608543,16.226585421090988
