date,BTC_volatility_percent,ETH_volatility_percent
2020-01-02,1.9721948384343797,2.254055101947178
2020-01-03,4.308579832688998,3.847648417629825
2020-01-04,2.0240752814295493,2.6224672248444896
2020-01-05,1.7824635749976336,2.5148525593275477
2020-01-06,2.239679848535759,3.311640941089093
2020-01-07,3.533225245769858,2.901073501199995
2020-01-08,4.666262003638552,4.020801850056221
2020-01-09,3.2107675499235553,3.0405380736885097
2020-01-10,3.851912682717984,3.8035947623248223
2020-01-11,3.605627085759782,4.23118160463907
2020-01-12,2.2644924184786315,2.7821143654952727
2020-01-13,1.6487787526516189,2.1790850582245116
2020-01-14,4.4253866816797895,7.9408099648399695
2020-01-15,3.838619089762384,5.947776291574855
2020-01-16,2.9818568667586627,5.0020672452425154
2020-01-17,3.0342328272355665,5.365055295444081
2020-01-18,2.20645360064841,5.26542535996076
2020-01-19,5.112918395269526,5.77521799186265
2020-01-20,2.235487860625915,3.0789549929793414
2020-01-21,2.3999173847365713,3.040395819563258
2020-01-22,1.525628008160459,2.2091022871250874
2020-01-23,2.585184495381807,3.2042346709906417
2020-01-24,2.331497736759931,3.6691103072363735
2020-01-25,1.987750553399165,3.021932385411312
2020-01-26,2.092899400619859,2.6891164082444523
2020-01-27,2.4771695515349834,2.9897402649331557
2020-01-28,3.6976528093213377,3.1743538027236227
2020-01-29,2.6303518410760223,2.9544970226948486
2020-01-30,2.5931905121625727,3.751768345813372
2020-01-31,2.327767482179419,3.412929304567156
2020-02-01,1.7024619140518653,2.907171694631271
2020-02-02,1.9478819034576944,3.341697381252652
2020-02-03,2.6930980891454404,3.643976576666534
2020-02-04,2.135325627148712,2.929894284374633
2020-02-05,2.432137789745324,3.6546770157267727
2020-02-06,2.730919770220526,5.224236356837754
2020-02-07,1.9453576464240772,3.8876430528877135
2020-02-08,1.8509661833787692,3.8512626020337546
2020-02-10,3.099858750643022,3.623821185364816
2020-02-11,2.9328847135685456,3.752904877465283
2020-02-12,2.5372646540252366,6.365589120342944
2020-02-13,4.027663567857959,7.680718773561892
2020-02-14,2.164490800843793,4.1920405882604275
2020-02-15,3.67684599895794,6.305951254243134
2020-02-16,2.6957795492835985,7.56896829185408
2020-02-17,3.1203260290319412,7.684846688898491
2020-02-18,3.1185705845239324,5.828835130108941
2020-02-20,3.0711580477012337,6.60210424174425
2020-02-21,2.258184592982163,4.205596814614157
2020-02-22,1.4595349816991878,3.1267165598882145
2020-02-23,2.191840700840445,3.048343249133893
2020-02-24,2.903210506526965,4.421706450493613
2020-02-25,2.7123655767381396,5.200668107285869
2020-02-26,3.998222714787018,7.070398253598416
2020-02-27,3.8179328228252087,7.372992272043814
2020-02-28,4.019514803754571,6.825243492040076
2020-02-29,2.58380851839141,4.6474822023830225
2020-03-01,3.1311345952875778,5.119969206332136
2020-03-02,2.498796276047463,4.221287717509382
2020-03-03,3.12565983023921,4.363708283261488
2020-03-05,2.306130494756414,2.9911545124247785
2020-03-06,1.7831876165521194,3.1479846026989287
2020-03-07,2.357461861404333,3.773535894313503
2020-03-08,3.712242826600988,8.037341588044768
2020-03-09,5.088229784615786,8.928769237049309
2020-03-10,4.08147677935493,5.086664940507841
2020-03-11,3.7413559546258703,6.06671792233599
2020-03-12,22.142082785501525,22.633381944970026
2020-03-13,33.24997795626904,34.19112736248879
2020-03-14,8.698661379184902,8.14062400265818
2020-03-15,9.587354779541696,8.066125092014632
2020-03-16,14.33259089766964,13.697759656343766
2020-03-17,8.002345769832514,8.003593620515561
2020-03-18,7.88366570934144,6.833569498682805
2020-03-19,7.756734252520868,8.537806519056454
2020-03-20,10.7928483810134,13.866339076756171
2020-03-21,7.871759245738115,8.642328168648346
2020-03-22,6.686880119472814,6.810352103450142
2020-03-23,7.723240254969388,7.688286324935147
2020-03-24,6.783278512262362,7.128286172979617
2020-03-25,6.254045864549535,6.032465847307477
2020-03-26,3.970935852057475,4.248544117695638
2020-03-27,5.115414991228302,4.745509011008469
2020-03-28,5.077216302428125,5.510241543641785
2020-03-29,3.739574116735482,3.462623756291576
2020-03-30,4.589264420469944,4.29642310339431
2020-03-31,3.2335919109460898,3.049398506310057
2020-04-01,4.221430292847214,3.512645089090672
2020-04-02,6.712727222250464,6.860792784383794
2020-04-03,4.350623045842453,4.365009259078432
2020-04-04,4.03051840478204,4.350143610271157
2020-04-05,2.676852291007268,2.840201069138192
2020-04-06,3.3623600398498836,6.113543246281225
2020-04-07,3.676361839803451,5.905468294892588
2020-04-08,3.1355490036714757,5.097423421387455
2020-04-09,2.7938474588000246,3.5869910492459853
2020-04-10,4.1952018112714,5.622303733935683
2020-04-11,2.3467995303038864,3.5972099050661073
2020-04-12,3.0880099410482305,3.476964493715715
2020-04-13,4.5303094309138,5.234747883842993
2020-04-14,2.81644773380925,3.6056594853313952
2020-04-15,2.5700192808807634,3.471966861115046
2020-04-16,4.964177518006691,7.447297015811354
2020-04-17,2.6179305294091972,3.863021489040258
2020-04-18,1.939545344746028,4.743430831353524
2020-04-19,2.0884694884692347,4.643038034513481
2020-04-20,3.530434794230485,5.569854564983193
2020-04-21,2.5378194646934653,4.065807601573266
2020-04-22,1.965473676057477,3.4036827624735673
2020-04-23,3.984250915857388,4.61479276340614
2020-04-24,2.331226401554889,3.112133365685365
2020-04-26,2.2419275040834905,2.768827908706222
2020-04-27,2.3078541196611337,2.97078187811918
2020-04-28,1.6387682089254274,2.7103461437697773
2020-04-29,5.639978943594291,4.387651062880334
2020-04-30,6.786078988346224,7.154735628152106
2020-05-01,3.469552992358887,3.814105064654032
2020-05-02,2.4705160152425516,2.4270870700856375
2020-05-03,3.870228366166802,3.589671826928946
2020-05-04,3.408321336436922,5.1713636482405745
2020-05-05,3.4892972336407495,3.904178931141842
2020-05-06,3.4130596172846404,3.596110141418814
2020-05-07,4.151128873328891,4.690957285204971
2020-05-08,3.38565604021521,3.5283238796188208
2020-05-09,3.084367637199718,2.8695379170037585
2020-05-10,11.240089742276954,11.100721772133571
2020-05-11,7.865081277377835,5.992944823528255
2020-05-12,3.8904598775478383,3.3647523117336218
2020-05-13,3.1207772788048196,3.137043727515171
2020-05-14,4.641901500438156,4.243079472557207
2020-05-15,4.861965316507829,3.5862828282484016
2020-05-16,3.0962524185246405,3.0065288497039497
2020-05-17,2.89525775295926,2.7058453179675377
2020-05-18,3.393412770115329,3.506580281842119
2020-05-19,3.3441865284453947,2.837268624218662
2020-05-20,3.1725682227686596,2.54306535225105
2020-05-21,3.759245170883694,3.912064862873348
2020-05-22,2.8652605822600132,3.291614556167467
2020-05-23,2.0983296354126706,2.730030504597796
2020-05-24,3.405055804741309,3.317591676923187
2020-05-25,2.896678651038402,2.7589418432737443
2020-05-26,2.46939642337216,2.4728352740700563
2020-05-27,2.6453895645507775,2.1895434526412556
2020-05-28,2.463985440819807,2.451031725062989
2020-05-29,2.56208887537476,3.204479823058527
2020-05-30,2.7909984301794877,4.64742025143301
2020-05-31,2.3788029510883475,4.065961549855797
2020-06-01,3.5060719171291193,3.814254775379929
2020-06-02,6.731627226969014,8.254339175941134
2020-06-03,1.8958017930937692,2.8073811044830586
2020-06-04,2.5079391374433166,3.334149015974941
2020-06-05,2.2928153716109545,3.030926109886144
2020-06-06,1.635718554812868,2.2831521086506585
2020-06-07,2.223003206824338,2.625132358449149
2020-06-08,1.6291782963987709,2.021297513244081
2020-06-09,2.6422193044527327,3.680331244026845
2020-06-10,2.4262926362846224,2.654241040763111
2020-06-11,4.120404289680275,4.590784895012338
2020-06-12,2.0951361291392376,2.607542021978942
2020-06-13,1.5138631210642035,1.7524541256993889
2020-06-14,1.827261249485769,2.2474614961254114
2020-06-15,2.951246539270438,3.674727485036088
2020-06-16,2.294579811693544,2.4082005087255154
2020-06-17,1.6849855653103338,2.1795779137239104
2020-06-18,1.572081232732266,1.957495001440946
2020-06-19,1.7782948598691397,2.1993972245739046
2020-06-20,1.236311724071308,1.4256004414489467
2020-06-21,0.9786030492068226,1.2994031553987972
2020-06-22,1.6561886387481204,2.517746000690108
2020-06-23,1.3510594054548195,1.837263944198815
2020-06-24,2.358339202923898,3.3167834765641535
2020-06-25,2.587349710731347,2.7057886149900625
2020-06-26,2.337064281177441,2.3869682684038978
2020-06-27,2.354629551886376,2.973846723964214
2020-06-29,1.5310258499490317,2.411132904350324
2020-06-30,1.279730699227561,2.035000807740427
2020-07-01,1.43212969251979,2.0932567060570135
2020-07-02,2.0235554765577524,2.68675161829062
2020-07-03,1.118061421023634,1.7557002774988728
2020-07-04,1.2417556494187088,1.5274737903174451
