symbol,missing_open_time
BTCUSDT,2020-02-19T16:30:00+0000
BTCUSDT,2020-02-19T16:35:00+0000
BTCUSDT,2020-02-19T16:40:00+0000
BTCUSDT,2020-02-19T16:45:00+0000
BTCUSDT,2020-02-19T16:50:00+0000
BTCUSDT,2020-02-19T16:55:00+0000
BTCUSDT,2020-02-19T17:00:00+0000
BTCUSDT,2020-02-19T17:05:00+0000
BTCUSDT,2020-02-19T17:10:00+0000
BTCUSDT,2020-02-19T17:15:00+0000
BTCUSDT,2020-02-19T17:20:00+0000
BTCUSDT,2020-02-19T17:25:00+0000
BTCUSDT,2020-03-04T09:25:00+0000
BTCUSDT,2020-03-04T09:30:00+0000
BTCUSDT,2020-03-04T09:35:00+0000
BTCUSDT,2020-03-04T09:40:00+0000
BTCUSDT,2020-03-04T09:45:00+0000
BTCUSDT,2020-03-04T09:50:00+0000
BTCUSDT,2020-03-04T09:55:00+0000
BTCUSDT,2020-03-04T10:00:00+0000
BTCUSDT,2020-03-04T10:05:00+0000
BTCUSDT,2020-03-04T10:10:00+0000
BTCUSDT,2020-03-04T10:15:00+0000
BTCUSDT,2020-03-04T10:20:00+0000
BTCUSDT,2020-03-04T10:25:00+0000
BTCUSDT,2020-03-04T10:30:00+0000
BTCUSDT,2020-03-04T10:35:00+0000
BTCUSDT,2020-03-04T10:40:00+0000
BTCUSDT,2020-03-04T10:45:00+0000
BTCUSDT,2020-03-04T10:50:00+0000
BTCUSDT,2020-03-04T10:55:00+0000
BTCUSDT,2020-03-04T11:00:00+0000
BTCUSDT,2020-03-04T11:05:00+0000
BTCUSDT,2020-03-04T11:10:00+0000
BTCUSDT,2020-03-04T11:15:00+0000
BTCUSDT,2020-03-04T11:20:00+0000
BTCUSDT,2020-03-04T11:25:00+0000
BTCUSDT,2020-04-25T02:00:00+0000
BTCUSDT,2020-04-25T02:05:00+0000
BTCUSDT,2020-04-25T02:10:00+0000
BTCUSDT,2020-04-25T02:15:00+0000
BTCUSDT,2020-04-25T02:20:00+0000
BTCUSDT,2020-04-25T02:25:00+0000
BTCUSDT,2020-04-25T02:30:00+0000
BTCUSDT,2020-04-25T02:35:00+0000
BTCUSDT,2020-04-25T02:40:00+0000
BTCUSDT,2020-04-25T02:45:00+0000
BTCUSDT,2020-04-25T02:50:00+0000
BTCUSDT,2020-04-25T02:55:00+0000
BTCUSDT,2020-04-25T03:00:00+0000
BTCUSDT,2020-04-25T03:05:00+0000
BTCUSDT,2020-04-25T03:10:00+0000
BTCUSDT,2020-04-25T03:15:00+0000
BTCUSDT,2020-04-25T03:20:00+0000
BTCUSDT,2020-04-25T03:25:00+0000
BTCUSDT,2020-04-25T03:30:00+0000
BTCUSDT,2020-04-25T03:35:00+0000
BTCUSDT,2020-04-25T03:40:00+0000
BTCUSDT,2020-04-25T03:45:00+0000
BTCUSDT,2020-04-25T03:50:00+0000
BTCUSDT,2020-04-25T03:55:00+0000
BTCUSDT,2020-04-25T04:00:00+0000
BTCUSDT,2020-04-25T04:05:00+0000
BTCUSDT,2020-04-25T04:10:00+0000
BTCUSDT,2020-04-25T04:15:00+0000
BTCUSDT,2020-04-25T04:20:00+0000
BTCUSDT,2020-04-25T04:25:00+0000
BTCUSDT,2020-06-28T02:00:00+0000
BTCUSDT,2020-06-28T02:05:00+0000
BTCUSDT,2020-06-28T02:10:00+0000
BTCUSDT,2020-06-28T02:15:00+0000
BTCUSDT,2020-06-28T02:20:00+0000
BTCUSDT,2020-06-28T02:25:00+0000
BTCUSDT,2020-06-28T02:30:00+0000
BTCUSDT,2020-06-28T02:35:00+0000
BTCUSDT,2020-06-28T02:40:00+0000
BTCUSDT,2020-06-28T02:45:00+0000
BTCUSDT,2020-06-28T02:50:00+0000
BTCUSDT,2020-06-28T02:55:00+0000
BTCUSDT,2020-06-28T03:00:00+0000
