date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent
2020-01-14,ETHUSDT,143.58,171.7,143.51,165.64,1108476.31186,288,288,0.006305646289770175,0.14292438752902958,True,0.07940809964839969,7.9408099648399695
2020-01-15,ETHUSDT,165.6,171.98,159.2,166.4,721687.80381,288,288,0.0035376042814619932,0.004577769709742294,True,0.05947776291574855,5.947776291574855
2020-01-16,ETHUSDT,166.4,167.4,157.8,164.21,456170.86719,288,288,0.002502067672592805,-0.0132484318833621,True,0.050020672452425155,5.0020672452425154
2020-01-17,ETHUSDT,164.24,174.81,162.14,169.85,767180.67853,288,288,0.0028783818323172574,0.033769598102847194,True,0.05365055295444081,5.365055295444081
2020-01-18,ETHUSDT,169.92,179.5,164.92,174.14,688783.17982,288,288,0.0027724704221317904,0.024943878793876616,True,0.052654253599607605,5.26542535996076
2020-01-19,ETHUSDT,174.1,178.05,161.66,166.79,624681.28604,288,288,0.003335314285353406,-0.043124037311389016,True,0.0577521799186265,5.77521799186265
2020-01-20,ETHUSDT,166.79,169.33,161.24,166.87,358092.8841,288,288,0.0009479963848792416,0.0004795300697305807,True,0.030789549929793415,3.0789549929793414
2020-01-21,ETHUSDT,166.86,170.32,164.8,169.49,308007.6353,288,288,0.0009244006739617735,0.015578861871150852,True,0.030403958195632578,3.040395819563258
2020-01-22,ETHUSDT,169.48,171.47,166.03,168.07,272240.90286,288,288,0.00048801329149812916,-0.008413368741486776,True,0.022091022871250872,2.2091022871250874
2020-01-23,ETHUSDT,168.07,168.2,159.21,162.81,373414.34985,288,288,0.0010267119826778506,-0.03179668254505236,True,0.03204234670990642,3.2042346709906417
2020-01-24,ETHUSDT,162.85,164.45,155.55,162.54,430013.19902,288,288,0.0013462370446668194,-0.0016597514183649307,True,0.036691103072363736,3.6691103072363735
2020-01-25,ETHUSDT,162.51,162.79,157.61,160.35,219921.65197,288,288,0.00091320753419977,-0.013565199185894581,True,0.030219323854113116,3.021932385411312
2020-01-26,ETHUSDT,160.36,168.08,159.41,167.86,251582.55758,288,288,0.0007231347057089543,0.045771372515518216,True,0.026891164082444522,2.6891164082444523
2020-01-27,ETHUSDT,167.91,172.56,165.22,170.08,365894.81917,288,288,0.0008938546851762577,0.013138615938957163,True,0.029897402649331557,2.9897402649331557
2020-01-28,ETHUSDT,170.04,176.2,170.03,175.64,473433.89609,288,288,0.0010076522064865925,0.03216753109987803,True,0.03174353802723623,3.1743538027236227
2020-01-29,ETHUSDT,175.58,178.45,173.33,173.72,317382.90161,288,288,0.0008729052657112724,-0.010991638026895127,True,0.029544970226948485,2.9544970226948486
2020-01-30,ETHUSDT,173.68,187.0,170.93,184.69,477721.6609,288,288,0.0014075765720647207,0.06123393622119759,True,0.03751768345813372,3.751768345813372
2020-01-31,ETHUSDT,184.71,185.82,175.22,179.99,385596.53365,288,288,0.0011648086437973252,-0.02577745009643142,True,0.03412929304567156,3.412929304567156
2020-02-01,ETHUSDT,179.94,184.28,179.23,183.6,259370.12902,288,288,0.0008451647262065256,0.019858184395002927,True,0.02907171694631271,2.907171694631271
2020-02-02,ETHUSDT,183.63,193.43,179.1,188.44,552621.13619,288,288,0.0011166941387870835,0.02602017564545117,True,0.03341697381252652,3.341697381252652
2020-02-03,ETHUSDT,188.48,195.19,186.62,189.69,417175.95781,288,288,0.0013278565291294352,0.006611506906790687,True,0.03643976576666534,3.643976576666534
2020-02-04,ETHUSDT,189.74,191.6,184.69,188.91,366389.69686,288,288,0.0008584280517611143,-0.004120449569869322,True,0.02929894284374633,2.929894284374633
2020-02-05,ETHUSDT,188.91,207.61,188.19,203.78,550942.11417,288,288,0.001335666408928155,0.07577026937737888,True,0.036546770157267726,3.6546770157267727
2020-02-06,ETHUSDT,203.78,216.33,201.02,213.19,608240.2233,288,288,0.0027292645512105415,0.04514280633031125,True,0.052242363568377546,5.224236356837754
