date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent
2020-02-03,BTCUSDT,9331.59,9618.79,9234.0,9292.24,50892.133451,288,288,0.0007252777317758822,-0.004217202035113272,True,0.026930980891454404,2.6930980891454404
2020-02-04,BTCUSDT,9291.35,9350.0,9093.01,9197.02,53308.175266,288,288,0.00045596155339580407,-0.01030012470407594,True,0.021353256271487122,2.135325627148712
2020-02-05,BTCUSDT,9197.02,9744.45,9177.22,9612.04,64870.415615,288,288,0.0005915294228307271,0.04413696079004309,True,0.024321377897453242,2.4321377897453242
2020-02-06,BTCUSDT,9612.03,9862.57,9526.35,9772.0,64949.706588,288,288,0.000745792279138133,0.016504674065093608,True,0.02730919770220526,2.730919770220526
2020-02-07,BTCUSDT,9772.0,9885.0,9730.0,9813.73,43966.114632,288,288,0.0003784416372500625,0.004261272175808221,True,0.01945357646424077,1.9453576464240772
2020-02-08,BTCUSDT,9813.87,9940.0,9667.11,9895.05,43600.843666,288,288,0.0003426075812011767,0.008252206527559671,True,0.018509661833787692,1.8509661833787692
2020-02-09,BTCUSDT,9895.04,10166.0,9880.75,10151.75,43408.475616,276,275,,,False,,
2020-02-10,BTCUSDT,10151.72,10188.0,9756.0,9851.83,59573.084619,288,288,0.0009609124273938121,-0.02998887968955333,True,0.030998587506430225,3.0998587506430226
2020-02-11,BTCUSDT,9851.74,10323.59,9700.0,10223.08,62422.395224,288,288,0.0008601812743084051,0.03699068450600002,True,0.029328847135685458,2.9328847135685456
2020-02-12,BTCUSDT,10223.08,10450.0,10223.08,10326.46,61008.06393,288,288,0.0006437711924565804,0.010061623972996907,True,0.025372646540252366,2.5372646540252366
2020-02-13,BTCUSDT,10325.33,10500.0,10080.0,10229.63,79344.358759,288,288,0.0016222073815850306,-0.009421122032286122,True,0.04027663567857959,4.027663567857959
2020-02-14,BTCUSDT,10227.78,10381.56,10111.37,10344.36,47038.480173,288,288,0.00046850204269374034,0.011153032471666645,True,0.02164490800843793,2.164490800843793
2020-02-15,BTCUSDT,10344.36,10375.0,9801.0,9904.72,57657.202947,288,288,0.0013519196500053014,-0.04343003244846042,True,0.0367684599895794,3.67684599895794
2020-02-16,BTCUSDT,9904.46,10050.0,9638.12,9917.27,60023.999537,288,288,0.0007267227378335681,0.0012662706092507782,True,0.026957795492835984,2.6957795492835985
2020-02-17,BTCUSDT,9910.7,9964.16,9452.67,9706.0,70261.011901,288,288,0.0009736434527454243,-0.02153343082594171,True,0.031203260290319414,3.1203260290319412
2020-02-18,BTCUSDT,9706.0,10250.0,9576.01,10164.71,70604.124019,288,288,0.0009725482490657942,0.04617766642322435,True,0.031185705845239324,3.1185705845239324
2020-02-19,BTCUSDT,10164.78,10250.0,9350.0,9593.79,55162.586895,218,217,,,False,,
2020-02-20,BTCUSDT,9594.65,9699.0,9400.0,9596.42,60152.342914,288,288,0.0009432011753960053,0.0002740980965260714,True,0.030711580477012338,3.0711580477012337
2020-02-21,BTCUSDT,9597.21,9755.51,9550.21,9677.05,42181.554524,288,288,0.0005099397655982016,0.008366990519609988,True,0.02258184592982163,2.258184592982163
