date,symbol,realized_variance,realized_volatility,target_log_variance,daily_log_variance,weekly_log_variance,monthly_log_variance
2020-08-30,ETHUSDT,0.0007746495901386,0.0278325275556968,-7.163099772614477,-7.383774441720763,-6.768841644500403,-6.564733641292448
2020-08-31,ETHUSDT,0.001012077230759,0.0318131612820706,-6.895750396049454,-7.163099772614477,-6.9799599054662504,-6.580478285852209
2020-09-01,ETHUSDT,0.0026905006437335,0.0518700360876449,-5.918027989773167,-6.895750396049454,-7.006211652030333,-6.593487544821046
2020-09-02,ETHUSDT,0.005558259596942,0.0745537363043732,-5.192470241854034,-5.918027989773167,-6.892266811131289,-6.562745010603857
2020-09-03,ETHUSDT,0.0063364468244138,0.0796018016405023,-5.061437105426583,-5.192470241854034,-6.510624568402379,-6.514997575203663
2020-09-04,ETHUSDT,0.0065325811509009,0.0808243846305117,-5.030953138005886,-5.061437105426583,-6.046157101143543,-6.4401338128987415
2020-09-05,ETHUSDT,0.0158132896727643,0.1257509032681846,-4.146904573961787,-5.030953138005886,-5.619727774221825,-6.415368054216639
2020-09-06,ETHUSDT,0.007993083227673,0.0894040448059988,-4.829178707822342,-4.146904573961787,-5.069958609804291,-6.317800209973995
2020-09-07,ETHUSDT,0.0047234273794765,0.0687271953412659,-5.355220603176965,-4.829178707822342,-4.852188753414127,-6.230913688168783
2020-09-08,ETHUSDT,0.0046575481593565,0.0682462318326552,-5.369266115368828,-5.355220603176965,-4.8847388256787125,-6.177322954593077
2020-09-09,ETHUSDT,0.0021434468701465,0.04629737433318,-6.145340058729118,-5.369266115368828,-4.946304627667162,-6.13566294078137
2020-09-10,ETHUSDT,0.002912632206554,0.0539688077184777,-5.8386980683123,-6.145340058729118,-5.169182011811808,-6.119542595308443
2020-09-11,ETHUSDT,0.001687950552504,0.0410846753973309,-6.384240176777721,-5.8386980683123,-5.50754071068191,-6.117536949165935
2020-09-12,ETHUSDT,0.0011440896018928,0.0338243935923888,-6.773146065758776,-6.384240176777721,-5.818553004472986,-6.101439578125366
2020-09-13,ETHUSDT,0.0017129236748498,0.0413874821032862,-6.369553617054421,-6.773146065758776,-6.102138096989348,-6.126736141164678
2020-09-14,ETHUSDT,0.0022482369248403,0.0474155768164888,-6.097608958891976,-6.369553617054421,-6.302195597326467,-6.107493218257225
2020-09-15,ETHUSDT,0.0015032787265571,0.0387721385347405,-6.500106738593323,-6.097608958891976,-6.292649377359038,-6.061241042414036
2020-09-16,ETHUSDT,0.0012449278417778,0.0352835349954882,-6.688677709156526,-6.500106738593323,-6.424931111415243,-6.041600479576053
2020-09-17,ETHUSDT,0.0018132942759156,0.0425827931906262,-6.312610046031495,-6.688677709156526,-6.485818617891004,-6.068017263274748
2020-09-18,ETHUSDT,0.000960959509941,0.0309993469276541,-6.947578283137595,-6.312610046031495,-6.393711413945548,-6.047477189765769
2020-09-19,ETHUSDT,0.0005870269447856,0.024228638937952,-7.440439836658832,-6.947578283137595,-6.5093163471621835,-6.0683783756234595
2020-09-20,ETHUSDT,0.0009161246523816,0.0302675511460971,-6.9953581191626215,-7.440439836658832,-6.777882522715555,-6.083821938403471
2020-09-21,ETHUSDT,0.0022848372732909,0.04779997147793,-6.0814604723618695,-6.9953581191626215,-6.876932798829413,-6.0661666510144645
2020-09-22,ETHUSDT,0.001512188500353,0.0388868679679026,-6.494197339449763,-6.0814604723618695,-6.755489351470483,-6.017001228275711
2020-09-23,ETHUSDT,0.0018264441444884,0.0427369178169,-6.305384292821555,-6.494197339449763,-6.791806810154137,-5.998748816612087
2020-09-24,ETHUSDT,0.001759219910694,0.0419430555717398,-6.34288480074889,-6.305384292821555,-6.663368012090928,-6.016355921296105
2020-09-25,ETHUSDT,0.0013207524819348,0.0363421584655454,-6.629553642735697,-6.34288480074889,-6.443857004908939,-6.0686474921549625
2020-09-26,ETHUSDT,0.0007923815034116,0.0281492718096159,-7.140467585901465,-6.629553642735697,-6.370696109623555,-6.139925516578104
2020-09-27,ETHUSDT,0.00081404004888,0.0285313870830013,-7.113500993073739,-7.140467585901465,-6.582497532331473,-6.235812536936994
2020-09-28,ETHUSDT,0.0009272751971905,0.0304511936907334,-6.983260167857016,-7.113500993073739,-6.706358263056269,-6.370657828714809
2020-09-29,ETHUSDT,0.0005991311542914,0.0244771557639244,-7.42003002840471,-6.983260167857016,-6.841933438063362,-6.4685706223527495
2020-09-30,ETHUSDT,0.0004305249026233,0.0207490940193385,-7.750505389954627,-7.42003002840471,-7.057362483594526,-6.5624255962267375
2020-10-01,ETHUSDT,0.0012576530499919,0.0354634043767927,-6.678507953661299,-7.750505389954627,-7.281552833038312,-6.670663745071547
2020-10-02,ETHUSDT,0.0011781441253973,0.0343241041455912,-6.743814853700683,-6.678507953661299,-7.189160906590279,-6.694898649386645
2020-10-03,ETHUSDT,0.0003703752071403,0.0192451346355481,-7.900993992798882,-6.743814853700683,-7.115223678715667,-6.736040321449753
2020-10-04,ETHUSDT,0.0003242866091726,0.0180079596060373,-8.033882836984862,-7.900993992798882,-7.298770443704041,-6.804983676723444
2020-10-05,ETHUSDT,0.0002854738446799,0.0168959712558937,-8.161360145394472,-8.033882836984862,-7.42154100542007,-6.862289893597356
2020-10-06,ETHUSDT,0.0009593942814953,0.0309740904869758,-6.949208429415116,-8.161360145394472,-7.50371195650804,-6.943735644885541
2020-10-07,ETHUSDT,0.0006128491992052,0.0247557912255956,-7.397391656851365,-6.949208429415116,-7.557852051658803,-6.982444711727502
2020-10-08,ETHUSDT,0.0005253795750146,0.0229211599840546,-7.551389556583452,-7.397391656851365,-7.68856741228894,-7.0232303898301405
2020-10-09,ETHUSDT,0.0006085392416371,0.0246685881565427,-7.40444915848357,-7.551389556583452,-7.618646525045854,-7.062444564713183
2020-10-10,ETHUSDT,0.0007514566837186,0.0274127102585393,-7.193496990194822,-7.40444915848357,-7.4927597893455955,-7.112073615279186
2020-10-11,ETHUSDT,0.000458619182208,0.021415395915276,-7.687290360661192,-7.193496990194822,-7.299187158305665,-7.123251738327241
