date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent,log_realized_variance,daily_log_variance,weekly_log_variance,monthly_log_variance,target_log_variance,usable_for_model
2020-01-01,BTCUSDT,7195.24,7255.0,7175.15,7200.85,16792.388165,288,287,,,False,,,,,,,,False
2020-01-02,BTCUSDT,7200.77,7212.5,6924.74,6965.71,31951.483932,288,288,0.0003889552480747,-0.0331995343103963,True,0.0197219483843437,1.9721948384343797,-7.852046264473609,,,,-7.852046264473609,False
2020-01-03,BTCUSDT,6965.49,7405.0,6871.04,7344.96,68428.500451,288,288,0.0018563860174654,0.0530148234303003,True,0.0430857983268899,4.308579832688998,-6.28912368269554,-7.852046264473609,,,-6.28912368269554,False
2020-01-04,BTCUSDT,7345.0,7404.0,7272.21,7354.11,29987.974977,288,288,0.0004096880744894,0.001244976883823,True,0.0202407528142954,2.0240752814295493,-7.8001144817447825,-6.28912368269554,,,-7.8001144817447825,False
2020-01-05,BTCUSDT,7354.19,7495.0,7318.0,7358.75,38331.085604,288,288,0.0003177176396193,0.0006307407470514,True,0.0178246357499763,1.7824635749976336,-8.054347495349122,-7.8001144817447825,,,-8.054347495349122,False
2020-01-06,BTCUSDT,7357.64,7795.34,7346.76,7758.0,54635.695316,288,288,0.0005016165823937,0.0528344876574413,True,0.0223967984853575,2.239679848535759,-7.597674510193396,-8.054347495349122,,,-7.597674510193396,False
2020-01-07,BTCUSDT,7758.9,8207.68,7723.71,8145.28,91171.684661,288,288,0.0012483680637345,0.0487140493637142,True,0.0353322524576985,3.533225245769858,-6.685918129651918,-7.597674510193396,-7.51866128689129,,-6.685918129651918,False
2020-01-08,BTCUSDT,8145.92,8455.0,7870.0,8055.98,112622.64264,288,288,0.00217740010866,-0.0110239455899593,True,0.0466626200363855,4.666262003638552,-6.129623724613641,-6.685918129651918,-7.285435659926952,,-6.129623724613641,False
2020-01-09,BTCUSDT,8054.72,8055.96,7750.0,7817.76,64239.51983,288,288,0.0010309028259642,-0.0300166042803074,True,0.0321076754992355,3.2107675499235553,-6.877320330606405,-6.129623724613641,-7.253535668310572,,-6.877320330606405,False
2020-01-10,BTCUSDT,7817.74,8199.0,7672.0,8197.02,82406.777448,288,288,0.0014837231315283,0.0473726050737368,True,0.0385191268271798,3.851912682717984,-6.51320072069413,-6.877320330606405,-7.068976838082897,,-6.51320072069413,False
