date,symbol,realized_variance,realized_volatility,target_log_variance,daily_log_variance,weekly_log_variance,monthly_log_variance
2020-01-24,ETHUSDT,0.0013462370446668,0.0366911030723637,-6.6104419528144085,-6.881393832666976,-6.831454986731953,-6.651588234058278
2020-01-25,ETHUSDT,0.0009132075341997,0.0302193238541131,-6.998547393014481,-6.6104419528144085,-7.012905704181246,-6.6072956569702885
2020-01-26,ETHUSDT,0.0007231347057089,0.0268911640824445,-7.231915038209915,-6.998547393014481,-7.020383208957125,-6.629256172569243
2020-01-27,ETHUSDT,0.0008938546851762,0.0298974026493315,-7.0199673405481935,-7.231915038209915,-7.069493226502277,-6.626974617719332
2020-01-28,ETHUSDT,0.0010076522064865,0.0317435380272362,-6.900132202118146,-7.0199673405481935,-6.948453111450794,-6.611249859682727
2020-01-29,ETHUSDT,0.0008729052657112,0.0295449702269484,-7.043683523807667,-6.900132202118146,-6.952200785341029,-6.615098926429099
2020-01-30,ETHUSDT,0.0014075765720647,0.0375176834581337,-6.565885796542326,-7.043683523807667,-7.03884909953968,-6.613440055268978
2020-01-31,ETHUSDT,0.0011648086437973,0.0341292930456715,-6.755198459706925,-6.565885796542326,-6.9523167802452495,-6.6197358789245735
2020-02-01,ETHUSDT,0.0008451647262065,0.0290717169463127,-7.07597900734966,-6.755198459706925,-6.856973464544652,-6.609232564519578
2020-02-02,ETHUSDT,0.001116694138787,0.0334169738125265,-6.797382620217087,-7.07597900734966,-6.868175797904945,-6.633665830641206
2020-02-03,ETHUSDT,0.0013278565291294,0.0364397657666653,-6.624189269058254,-6.797382620217087,-6.847625881524733,-6.655120595852922
2020-02-04,ETHUSDT,0.0008584280517611,0.0292989428437463,-7.060407688056503,-6.624189269058254,-6.7637270305748505,-6.630587473151994
2020-02-05,ETHUSDT,0.0013356664089281,0.0365467701572677,-6.618324928962492,-7.060407688056503,-6.862631408877685,-6.603672813941185
2020-02-06,ETHUSDT,0.0027292645512105,0.0522423635683775,-5.9037231012396525,-6.618324928962492,-6.835256702728799,-6.674218955689784
2020-02-07,ETHUSDT,0.0015113768506666,0.0388764305288771,-6.494734221978611,-5.9037231012396525,-6.600805521506798,-6.686010663128459
2020-02-08,ETHUSDT,0.0014832223629823,0.0385126260203375,-6.5135382857432225,-6.494734221978611,-6.540275841859104,-6.708924135950034
2020-03-27,ETHUSDT,0.0022519855773562,0.0474550901100846,-6.095942973096338,-6.31718764456248,-5.543962454125517,-5.135364115174722
2020-03-28,ETHUSDT,0.0030362761869275,0.0551024154364178,-5.797123452925101,-6.095942973096338,-5.688460503433079,-5.0934060004467705
2020-03-29,ETHUSDT,0.0011989763277634,0.0346262375629157,-6.726287146448259,-5.797123452925101,-5.821696285251735,-5.0425109077085954
2020-03-30,ETHUSDT,0.001845925148338,0.0429642310339431,-6.2947746917528224,-6.726287146448259,-6.110513974980958,-5.050327803357747
