date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent,log_realized_variance,daily_log_variance,weekly_log_variance,monthly_log_variance,target_log_variance,usable_for_model
2020-01-17,ETHUSDT,164.24,174.81,162.14,169.85,767180.67853,288,288,0.0028783818323172,0.0337695981028471,True,0.0536505529544408,5.365055295444081,-5.850527006517636,-5.990637819903991,-6.3035402654318125,,-5.850527006517636,False
2020-01-18,ETHUSDT,169.92,179.5,164.92,174.14,688783.17982,288,288,0.0027724704221317,0.0249438787938766,True,0.0526542535996076,5.26542535996076,-5.888016507099021,-5.850527006517636,-6.040862073039609,,-5.888016507099021,False
2020-01-19,ETHUSDT,174.1,178.05,161.66,166.79,624681.28604,288,288,0.0033353142853534,-0.043124037311389,True,0.0577521799186265,5.77521799186265,-5.70318836556794,-5.888016507099021,-5.6879593363205485,,-5.70318836556794,False
2020-01-20,ETHUSDT,166.79,169.33,161.24,166.87,358092.8841,288,288,0.0009479963848792,0.0004795300697305,True,0.0307895499297934,3.0789549929793414,-6.961159869135089,-5.70318836556794,-5.815335047335475,,-6.961159869135089,False
2020-01-21,ETHUSDT,166.86,170.32,164.8,169.49,308007.6353,288,288,0.0009244006739617,0.0155788618711508,True,0.0304039581956325,3.040395819563258,-6.9863649504841545,-6.961159869135089,-6.078705913644735,,-6.9863649504841545,False
2020-01-22,ETHUSDT,169.48,171.47,166.03,168.07,272240.90286,288,288,0.0004880132914981,-0.0084133687414867,True,0.0220910228712508,2.2091022871250874,-7.625167915805604,-6.9863649504841545,-6.277851339760768,,-7.625167915805604,False
2020-01-23,ETHUSDT,168.07,168.2,159.21,162.81,373414.34985,288,288,0.0010267119826778,-0.0317966825450523,True,0.0320423467099064,3.2042346709906417,-6.881393832666976,-7.625167915805604,-6.632779521618362,,-6.881393832666976,False
2020-01-24,ETHUSDT,162.85,164.45,155.55,162.54,430013.19902,288,288,0.0013462370446668,-0.0016597514183649,True,0.0366911030723637,3.6691103072363735,-6.6104419528144085,-6.881393832666976,-6.831454986731953,-6.651588234058278,-6.6104419528144085,True
2020-01-25,ETHUSDT,162.51,162.79,157.61,160.35,219921.65197,288,288,0.0009132075341997,-0.0135651991858945,True,0.0302193238541131,3.021932385411312,-6.998547393014481,-6.6104419528144085,-7.012905704181246,-6.6072956569702885,-6.998547393014481,True
2020-01-26,ETHUSDT,160.36,168.08,159.41,167.86,251582.55758,288,288,0.0007231347057089,0.0457713725155182,True,0.0268911640824445,2.6891164082444523,-7.231915038209915,-6.998547393014481,-7.020383208957125,-6.629256172569243,-7.231915038209915,True
2020-01-27,ETHUSDT,167.91,172.56,165.22,170.08,365894.81917,288,288,0.0008938546851762,0.0131386159389571,True,0.0298974026493315,2.9897402649331557,-7.0199673405481935,-7.231915038209915,-7.069493226502277,-6.626974617719332,-7.0199673405481935,True
2020-01-28,ETHUSDT,170.04,176.2,170.03,175.64,473433.89609,288,288,0.0010076522064865,0.032167531099878,True,0.0317435380272362,3.1743538027236227,-6.900132202118146,-7.0199673405481935,-6.948453111450794,-6.611249859682727,-6.900132202118146,True
2020-01-29,ETHUSDT,175.58,178.45,173.33,173.72,317382.90161,288,288,0.0008729052657112,-0.0109916380268951,True,0.0295449702269484,2.9544970226948486,-7.043683523807667,-6.900132202118146,-6.952200785341029,-6.615098926429099,-7.043683523807667,True
2020-01-30,ETHUSDT,173.68,187.0,170.93,184.69,477721.6609,288,288,0.0014075765720647,0.0612339362211975,True,0.0375176834581337,3.751768345813372,-6.565885796542326,-7.043683523807667,-7.03884909953968,-6.613440055268978,-6.565885796542326,True
2020-01-31,ETHUSDT,184.71,185.82,175.22,179.99,385596.53365,288,288,0.0011648086437973,-0.0257774500964314,True,0.0341292930456715,3.412929304567156,-6.755198459706925,-6.565885796542326,-6.9523167802452495,-6.6197358789245735,-6.755198459706925,True
2020-02-01,ETHUSDT,179.94,184.28,179.23,183.6,259370.12902,288,288,0.0008451647262065,0.0198581843950029,True,0.0290717169463127,2.907171694631271,-7.07597900734966,-6.755198459706925,-6.856973464544652,-6.609232564519578,-7.07597900734966,True
2020-02-02,ETHUSDT,183.63,193.43,179.1,188.44,552621.13619,288,288,0.001116694138787,0.0260201756454511,True,0.0334169738125265,3.341697381252652,-6.797382620217087,-7.07597900734966,-6.868175797904945,-6.633665830641206,-6.797382620217087,True
2020-02-03,ETHUSDT,188.48,195.19,186.62,189.69,417175.95781,288,288,0.0013278565291294,0.0066115069067906,True,0.0364397657666653,3.643976576666534,-6.624189269058254,-6.797382620217087,-6.847625881524733,-6.655120595852922,-6.624189269058254,True
2020-02-04,ETHUSDT,189.74,191.6,184.69,188.91,366389.69686,288,288,0.0008584280517611,-0.0041204495698693,True,0.0292989428437463,2.929894284374633,-7.060407688056503,-6.624189269058254,-6.7637270305748505,-6.630587473151994,-7.060407688056503,True
2020-02-05,ETHUSDT,188.91,207.61,188.19,203.78,550942.11417,288,288,0.0013356664089281,0.0757702693773788,True,0.0365467701572677,3.6546770157267727,-6.618324928962492,-7.060407688056503,-6.862631408877685,-6.603672813941185,-6.618324928962492,True
2020-02-06,ETHUSDT,203.78,216.33,201.02,213.19,608240.2233,288,288,0.0027292645512105,0.0451428063303112,True,0.0522423635683775,5.224236356837754,-5.9037231012396525,-6.618324928962492,-6.835256702728799,-6.674218955689784,-5.9037231012396525,True
2020-02-07,ETHUSDT,213.16,225.0,213.14,223.33,629361.15466,288,288,0.0015113768506666,0.0464667113559331,True,0.0388764305288771,3.8876430528877135,-6.494734221978611,-5.9037231012396525,-6.600805521506798,-6.686010663128459,-6.494734221978611,True
2020-02-08,ETHUSDT,223.36,227.75,213.22,223.05,548551.87465,288,288,0.0014832223629823,-0.00125453665811,True,0.0385126260203375,3.8512626020337546,-6.5135382857432225,-6.494734221978611,-6.540275841859104,-6.708924135950034,-6.5135382857432225,True
2020-02-09,ETHUSDT,223.01,230.65,222.86,228.49,350336.24399,276,275,,,False,,,,-6.5135382857432225,-6.518145645196097,-6.739061012278469,,False
2020-02-10,ETHUSDT,228.53,229.4,216.37,222.89,510415.49949,288,288,0.0013132079983498,-0.0248140694823512,True,0.0362382118536481,3.623821185364816,-6.635282281622976,,,,-6.635282281622976,False
2020-02-11,ETHUSDT,222.89,239.15,218.17,236.69,595576.90276,288,288,0.0014084295019302,0.0600728918386184,True,0.0375290487746528,3.752904877465283,-6.565280023778226,-6.635282281622976,,,-6.565280023778226,False
2020-02-12,ETHUSDT,236.69,275.34,236.69,265.74,1038073.74782,288,288,0.0040520724849028,0.1157671191064413,True,0.0636558912034294,6.365589120342944,-5.508526804082749,-6.565280023778226,,,-5.508526804082749,False
2020-02-13,ETHUSDT,265.74,277.69,256.08,268.32,1089679.1537,288,288,0.0058993440878546,0.0096619109117373,True,0.0768071877356189,7.680718773561892,-5.132914105800546,-5.508526804082749,,,-5.132914105800546,False
2020-02-14,ETHUSDT,268.34,287.15,260.28,285.15,734944.32266,288,288,0.0017573204293622,0.0608350595276504,True,0.0419204058826042,4.1920405882604275,-6.343965113404428,-5.132914105800546,,,-6.343965113404428,False
2020-02-15,ETHUSDT,285.11,288.41,261.86,264.88,860813.14274,288,288,0.003976502122089,-0.0737384643635575,True,0.0630595125424313,6.305951254243134,-5.527352709909739,-6.343965113404428,-6.037193665737784,,-5.527352709909739,False
2020-02-16,ETHUSDT,264.91,274.0,237.41,258.85,1110118.46395,288,288,0.0057289281003092,-0.0230281498910797,True,0.0756896829185408,7.56896829185408,-5.162226833763757,-5.527352709909739,-5.815607751395137,,-5.162226833763757,False
2020-02-17,ETHUSDT,258.89,268.77,242.0,267.85,1110371.39094,288,288,0.0059056868631874,0.0341783789790594,True,0.0768484668889849,7.684846688898491,-5.131839517183293,-5.162226833763757,-5.534997113392244,,-5.131839517183293,False
2020-02-18,ETHUSDT,267.9,285.88,258.0,282.61,1115523.43992,288,288,0.0033975318973992,0.0536407330015734,True,0.0582883513010894,5.828835130108941,-5.684706023491745,-5.131839517183293,-5.459659656012352,,-5.684706023491745,False
2020-02-19,ETHUSDT,282.64,285.0,251.56,258.45,705973.72988,218,217,,,False,,,,-5.684706023491745,-5.570018039550592,,,False
2020-02-20,ETHUSDT,258.44,264.33,245.34,256.96,972969.71691,288,288,0.0043587780418857,-0.005781820883651,True,0.0660210424174425,6.60210424174425,-5.435563526525489,,,,-5.435563526525489,False
2020-02-21,ETHUSDT,256.97,268.24,253.61,265.27,525827.8734,288,288,0.0017687044567092,0.0318277444587203,True,0.0420559681461415,4.205596814614157,-6.337507945761224,-5.435563526525489,,,-6.337507945761224,False
2020-02-22,ETHUSDT,265.32,266.81,256.0,261.57,313062.52133,288,288,0.0009776356445879,-0.014046241109282,True,0.0312671655988821,3.1267165598882145,-6.930373508890139,-6.337507945761224,,,-6.930373508890139,False
2020-02-23,ETHUSDT,261.55,275.68,261.02,274.48,444740.82883,288,288,0.000929239656454,0.0481764644423615,True,0.0304834324913389,3.048343249133893,-6.9811438799180054,-6.930373508890139,,,-6.9811438799180054,False
2020-02-24,ETHUSDT,274.5,277.2,257.09,265.52,696591.72983,288,288,0.0019551487934336,-0.0331882311384743,True,0.0442170645049361,4.421706450493613,-6.237288979267767,-6.9811438799180054,,,-6.237288979267767,False
2020-02-25,ETHUSDT,265.47,266.22,244.44,246.67,774791.01027,288,288,0.002704694876214,-0.0736387564594067,True,0.0520066810728586,5.200668107285869,-5.912766172966969,-6.237288979267767,-6.384375568072525,,-5.912766172966969,False
2020-02-26,ETHUSDT,246.67,250.32,215.66,223.93,1395879.41507,288,288,0.0049990531464487,-0.0967179079355732,True,0.0707039825359841,7.070398253598416,-5.298506755191194,-5.912766172966969,-6.47981609736082,,-5.298506755191194,False
2020-02-27,ETHUSDT,223.98,238.3,210.0,227.79,1273793.11658,288,288,0.0054361015043617,0.0170906488765122,True,0.0737299227204381,7.372992272043814,-5.214693110247685,-5.298506755191194,-6.272015859246816,,-5.214693110247685,False
2020-02-28,ETHUSDT,227.73,234.67,214.01,226.76,1054994.92397,288,288,0.0046583948725635,-0.0045319624371493,True,0.0682524349204007,6.825243492040076,-5.3690843381281494,-5.214693110247685,-5.928879779518324,,-5.3690843381281494,False
2020-02-29,ETHUSDT,226.76,233.0,217.0,217.21,546866.6851,288,288,0.0021599090821466,-0.0430275619404999,True,0.0464748220238302,4.6474822023830225,-6.137689149770736,-5.3690843381281494,-5.606467871160353,,-6.137689149770736,False
2020-03-01,ETHUSDT,217.29,227.89,212.36,217.81,715016.01941,288,288,0.0026214084673789,0.0027584956115343,True,0.0511996920633213,5.119969206332136,-5.944043522686044,-6.137689149770736,-5.586547905260947,,-5.944043522686044,False
2020-03-02,ETHUSDT,217.81,234.4,216.07,231.97,810051.4833,288,288,0.0017819269993995,0.0629849298330422,True,0.0422128771750938,4.221287717509382,-6.330059916317243,-5.944043522686044,-5.5928033752047615,,-6.330059916317243,False
2020-03-03,ETHUSDT,232.1,232.46,219.57,223.91,741498.54825,288,288,0.0019041949981404,-0.03536386755693,True,0.0436370828326148,4.363708283261488,-6.263695932867314,-6.330059916317243,-5.799114007429972,,-6.263695932867314,False
2020-03-04,ETHUSDT,223.84,228.85,220.23,224.26,443780.33772,263,262,,,False,,,,-6.263695932867314,-6.008914571953897,,,False
2020-03-05,ETHUSDT,224.26,234.09,224.23,228.38,601479.87587,288,288,0.0008947005317199,0.0182048152407681,True,0.0299115451242477,2.9911545124247785,-7.019021497111247,,,,-7.019021497111247,False
2020-03-06,ETHUSDT,228.38,245.16,227.33,244.88,628147.3257,288,288,0.0009909807058829,0.0697573863636551,True,0.0314798460269892,3.1479846026989287,-6.916815493164987,-7.019021497111247,,,-6.916815493164987,False
