date,symbol,realized_variance,realized_volatility,target_log_variance,daily_log_variance,weekly_log_variance,monthly_log_variance
2020-01-24,BTCUSDT,0.0005435881696516,0.0233149773675993,-7.517318638890254,-7.310746618107105,-7.336793505288533,-7.150617001087025
2020-01-25,BTCUSDT,0.0003951152262538,0.0198775055339916,-7.836333123567899,-7.517318638890254,-7.650897300961715,-7.135402109015055
2020-01-26,BTCUSDT,0.0004380227901114,0.0209289940061985,-7.733239616723648,-7.836333123567899,-7.697879645841903,-7.2057298108728896
2020-01-27,BTCUSDT,0.0006136368987052,0.0247716955153498,-7.396107174932419,-7.733239616723648,-7.752633220285361,-7.202690044281021
2020-01-28,BTCUSDT,0.0013672636298281,0.0369765280932133,-6.5949438869971,-7.396107174932419,-7.558749034444264,-7.172770029716625
2020-01-29,BTCUSDT,0.0006918750807852,0.0263035184107602,-7.27610513773867,-6.5949438869971,-7.415588488222264,-7.127191365025883
2020-01-30,BTCUSDT,0.0006724637032369,0.0259319051216257,-7.304562420826802,-7.27610513773867,-7.367345787991948,-7.154018047211644
2020-01-31,BTCUSDT,0.0005418501451091,0.0232776748217941,-7.520521079792224,-7.304562420826802,-7.260991647443729,-7.2074243515849705
2020-02-01,BTCUSDT,0.0002898376568797,0.0170246191405186,-8.146189595595542,-7.520521079792224,-7.218447940057443,-7.236660749275234
2020-02-02,BTCUSDT,0.0003794243909817,0.0194788190345769,-7.876855214227972,-8.146189595595542,-7.368464424190067,-7.310887516316209
2020-02-03,BTCUSDT,0.0007252777317758,0.0269309808914544,-7.228955898153914,-7.876855214227972,-7.624846689636241,-7.3668650731915335
2020-02-04,BTCUSDT,0.0004559615533958,0.0213532562714871,-7.693102064732915,-7.228955898153914,-7.6154168417192905,-7.351106745837737
2020-02-05,BTCUSDT,0.0005915294228307,0.0243213778974532,-7.432799133042979,-7.693102064732915,-7.693124770500513,-7.327599083141055
2020-02-06,BTCUSDT,0.0007457922791381,0.0273091977022052,-7.2010634427294296,-7.432799133042979,-7.675580381150664,-7.38201608685612
2020-02-07,BTCUSDT,0.00037844163725,0.0194535764642407,-7.879448691824103,-7.2010634427294296,-7.486555150577442,-7.41296828915242
2020-02-08,BTCUSDT,0.0003426075812011,0.0185096618337876,-7.978924843886219,-7.879448691824103,-7.487073846096668,-7.451795596065107
2020-03-27,BTCUSDT,0.0026167470532483,0.051154149912283,-5.945823315341198,-6.452336776144693,-5.581911433715674,-5.453063701339399
2020-03-28,BTCUSDT,0.0025778125381641,0.0507721630242812,-5.960814093104384,-5.945823315341198,-5.689066988592929,-5.380637563262559
2020-03-29,BTCUSDT,0.0013984414574557,0.0373957411673548,-6.572396907152547,-5.960814093104384,-5.856855332068278,-5.285513874091714
2020-03-30,BTCUSDT,0.0021061347920991,0.0458926442046994,-6.162900863472785,-6.572396907152547,-6.095050855686539,-5.243569676402948
